Iktatószám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email),Megjegyzés GYE
SZÉV2019-0001,0,"GYE
SA",01.02,,,01.03,X,,Metarad,TCS,"Elkapó javítás, újrahegesztés",Molnár Szabolcs asztalán hagytam az elkapót. Kell még 2db zeger gyűrű is a csapok végére.,"Daniel meghegesztette, visszakerült"
SZÉV2019-0002,0,"GYE
SA",01.07,,,01.10,X,,Trimble,TCS,"Elkapó javítás, újrahegesztés","2019.01.04-én a 2018.08.28-ÁN TELEPÍTETT( 4 HÓNAP!!!) gépünknél a munkadarab elkapó kanál a RENDELTETÉS SZERŰ HASZNÁLAT ELLENÉRE leszakadt,a hegesztés elengedett!!!
 A hiba telefonon már be lett jelentve 2019.01.04-én,ez annak írásos megerősítése.
 Kérem az azonnali intézkedést a javításában!","01.07. Mikor érkezik Taksonyba?
 01.09. beérkezett Taksonyba, meghegesztjük"
SZÉV2019-0003,0,"GYE
SA",,,,01.07,X,,Győrfi,MM-760,Munkahenger,"Sajnos szükségünk van 1 db tár munkahengerre is. Csatoltam képet az adattáblájáról. A dugattyú löket kb. 243 mm, dugattyú átmérő kb. 70 mm, a két végén az öntvénynél 74 mm. A leszerelt ICPEST tárról be tudnátok küldeni?","01.07. Beni szerelte le

01.16. Szelephez kapott Gina cikkámot, intézi a fellelt készletet
10-10005047-00,Pneumatika / Mindman MVSC-220-4E2C szelep (5/3 középen zárt 3x1/4""-2x1/8"")"
SZÉV2019-0004,0,"GYE
EG",,,,01.08,X,,,,Szerszám rendelés,,"Megrendelve - Fairtool
 BELSŐ RENDELÉS - 569732 - SZERSZÁMOK - SZÉV 01.07.
 01.08. Lóri egyből a SZÉV-be vitte"
SZÉV2019-0005,0,"GYE
EG",01.07,,,01.11,X,M06050,Bocz,Okuma LC-20,X1 golyósorsó javítás,"Bocz Úr Okuma LC20-asának ""X1"" golyósorsója javításra szorul, ezért bekerült a SZÉV-be. Abban szeretném a segítségedet kérni, hogy a Szimikronhoz eljusson ez az orsó és felvételezzék. Szeretnénk árajánlatot kérni a javításra, illetve ha javíthatatlan, akkor egy másik, kiváltó golyósorsóra.","01.07. Megrendelve - Szimikron
 RENDELÉS - SZR201900029 - SZÉV2019-0005 - M06050 Okuma LC-20 - X1 golyósorsó bevizsgálás
01.09. javítható, ár megadva a SZÉV-nek
01.11. Bekerül a SZÉV-be (Lóri felhozta)"
SZÉV2019-0006,0,"GYE
SA",01.08,,,01.08,2019/000000014,M08128,Aptiv (Delphi),EmL-510,1 db Deublin (902-120-188),Kérlek küldjetek be 1 db Deublin (902-120-188) forgócsatlakozót az M08128 Aptiv (Delphi) EmL-510 géphez.,
SZÉV2019-0007,0,"GYE
EG",01.08,,,X,X,,,,Tartalék Deublinok,"Már egy jó ideje nincsen nálunk tartalék Deublin, ha van készleten kérlek küldjetek be 1-1 db-ot","01.08. MEGRENDELNI, Taksony raktárra
01.14. RENDELÉS - SZR201900125 - DEUBLIN Forgócsatlakozók
02.04. fizetve, hamarosan beérkezik, SZÉV-be nem küldünk be, Taksonyban tároljuk a tartalékot"
SZÉV2019-0008,0,"GYE
SA",01.08,,,01.08,2019/000000012,,,,Szűrők,"Kérlek küldjetek be 1-1 db szűrőt az alábbiakból:
 10-00016008-00 Filtrec R221C10 - ledugózott változat
 21-00217083-00 Parker 936712Q (20QPZ)
 
 Elhasználtuk tegnap az FMF-nél az utolsó darabokat.","Van raktáron, bekerül a SZÉV-be
 A dugót majd felhasználják arról amit kivesznek!"
SZÉV2019-0009,0,"GYE
EG",01.08,,,,X,,,,Szűrők,"Kérlek küldjetek be 1-1 db szűrőt az alábbiakból:
 10-00016008-00 Filtrec R221C10 - ledugózott változat
 21-00217083-00 Parker 936712Q (20QPZ)
 
 Elhasználtuk tegnap az FMF-nél az utolsó darabokat.","01.08. MEGRENDELNI Taksony raktárra
01.11. IMEX - SZR201900087 - Szűrőbetétek -> szállítás 2-3 hét
02.06. EG: Merre jár? IMEX?
02.19. beérkezett Taksony raktárra kerül"
SZÉV2019-0010,0,"GYE
SA",01.08,,,01.08,2019/000000015,M07160,Interstop,EmL-1020,X-tengely energiavezető,"Hívott az Interstop, hogy továbbra is kérnék az M07160 Interstop EmL-1020 gépük X-tengelyéhez az energiavezetőt.
 Hogyha további információra van szükségetek, akkor jelezzétek.
 
 TÍPUS: NCF 19.13 KR25 kép alapján","Igus kiváltó:
 1 m 10-00016471-00,Energiavezető / IGUS B15-ös szériájú energialánc - B15.015.038.0 energialánc
 1 pár 10-00016472-00,Energiavezető / IGUS B15-ös szériájú energialánc -1015.34PZ végelem pár"
