Igényszám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email),Megjegyzés GYE
SZÉV2021-0001,TRUE,GYE,01.04,-,0,01.06.,-,M16265,S&S CNC Fémipari Kft.,TCS-2500L,Eszterga főorsó csapágyak // TCS-2500L,ÜF nem kéri,
SZÉV2021-0002,TRUE,GYE,01.06,,0,01.22.,,M04099,Manz Hungary,Kondia B640,Spieth MSR M40x1.5 anya,,
SZÉV2021-0003,FALSE,"GYE, KL",01.06,,0,,,-,SZÉV,-,T-hornyos asztal köszörülés,,
SZÉV2021-0004,TRUE,GYE,01.06,,0,01.07.,,-,SZÉV,-,Nagy teherbírású kötelek,,
SZÉV2021-0005,TRUE,GYE,01.06,,0,,,M17270,First-Tech,EMP-700M,Olajleválasztó törlő // EMP-700M,,
SZÉV2021-0006,FALSE,IMP,01.07,,,,,-,SZÉV,,HPB / VM100L 12 000 rpm / Nagyfordulatszámú jeladó,,
SZÉV2021-0007,FALSE,IMP,01.07,,,,,-,SZÉV,VD510,"10-00028788-00,Tartalék / Manford / Motor ventillátor",,
SZÉV2021-0008,TRUE,IMP,01.08,,0,02.03.,,M20088,F-Kontakt,SCT-40,SCT-40 huzalszikra elektromos panel visszapótlás,,
SZÉV2021-0009,TRUE,GYE,01.08,,0,01.28.,,M06092,H.T.M. Magyar-Osztrák Ipari Szolgáltató Kft.,EEN-400,Vezetéktörlő betétek // EEN-400 és EEN-320,,
SZÉV2021-0010,TRUE,GYE,01.12,,1,,,M18235 / M14007,Jandem / EMTC Kft.,MM-850SV / EmL-510B,Deublin 904-120-188 és 1101-632-343 // MM-850SV,,
SZÉV2021-0011,TRUE,HDH,01.12,,1,01.14.,,M18330/P19811,NCT 2000 Bt.,EML-1200SV,ECN-125 jeladó // Spirsin C-tengely,,
SZÉV2021-0012,FALSE,BABETT,01.12,,0,,,M11230,Bombardier,AXA VSC-3-5000,"""Y"" golyósorsó // AXA VSC-3",,
SZÉV2021-0013,TRUE,GYE,01.12,,0,01.19.,,M18228,MST Engineering,MM-850E / 1,Vízipisztoly // MM-850E,,
SZÉV2021-0014,FALSE,"GYE, LOG",01.13,,1,,,M19044,Gróf és Társa,JCL-60TSM,AMS112 forgórész,,
SZÉV2021-0015,TRUE,GYE,01.15,,0,,,M19025,S.C.OTELURI SI DEBITARI S.R.L.,HTL-76DT,Hidraulika szelep 24V // HTL-76DT,,
SZÉV2021-0016,TRUE,IMP,01.15,,0,07.01.,,M15168,Hajdu Autotechnika,EmB-2004D,Parker CTS szivattyú // EmB-2004D,,
