SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés GYE,Igénylő,
SZÉV2022-001,TRUE,GYE,01.05.,,0,01.17.,,M06151,Huszár,TMV-1600,1129-205,"Kérlek rendeljetek 2 db 1129-205-201 forgóátvezetőt SZÉV tartalékba (TMV gépekhez használt típus)!
Az utolsót odaadjuk az M06151 Huszár Kft. TMV-1600 géphez.",,DÁ,
SZÉV2022-002,TRUE,IMP,01.05.,,,03.28.,,M05006,Dendrit,TMV-850A,szerszámcserélő részegység MR4AK0025A04 (7tétel - zseb pozicionáló),,,CsZ,
SZÉV2022-003,TRUE,GYE,01.05.,,,01.31.,,M17116,Vörös Ipari,EmR-1020D,Polikarbonát 365x665x6 - 4db,10-00016816-00,,CsZ,
SZÉV2022-004,TRUE,GYE,01.05.,,,01.06,,M16135,Loko Trans,BNC-40120,Szivattyú és motor hidraulikához,,,CsZ,
SZÉV2022-005,TRUE,GYE,01.06.,,0,2022.01.07,2022/000000030,,Frank Hungária,EmL-1200,2 db vizipisztoly,,,DÁ,
SZÉV2022-006,FALSE,IMP,01.06.,,,újra elküldve 2023ban,,,SZÉV tartalék,,"Mindman mágnesszelep / MVSC-300-4E1,10-00032953-00 - 3db",,,CsZ,
SZÉV2022-007,TRUE,GYE,01.07.,,0,01.11,,M10143,FMF,EmB-1104G,1 db Deublin 1101-632-343,"Visszapótlást kérünk, az utolsót felhasználjuk az FMF-nél.",,DÁ,
SZÉV2022-008,TRUE,GYE,01.07.,,,01.21,,M11161,EFT,JCL-60AHD-CNC,Rev.fej dió (D22x34) 5db ,LS-240-VDI30,,CsZ,
SZÉV2022-009,TRUE,IMP,01.07.,,,05.23.,BET2022/02042,M05042,HANTECH GÉPGYÁRTÓ ÉS FORGALMAZÓ ZRT.,TNL-100A,"munkatérben lévő rugalmas, térelválasztó szövet",,,CsZ,
SZÉV2022-010,TRUE,GYE,01.10.,,1,01.11,,M11162,GÖMBÖLYÍTŐ,EmL-1020B,2 db Deublin 1109-020-188,"1 db Gömbölyítő, 1 db SZÉV tartalék->M17203 P17003 Doroti Pack MM-800S/MM-850SV",,DÁ,
SZÉV2022-011,FALSE,IMP,01.11.,,1,,,M06151,HUSZÁR,TMV-1600,főorsó feletti vízbevezető lap,elrepedt,,DÁ,
SZÉV2022-012,TRUE,GYE,01.11.,,,01.17,,M15290,KAL-SYSTEM KFT.,BNC-2280,Szűrő / P551551 Donaldson szűrőbetét - 5db,,,CsZ,
SZÉV2022-013,TRUE,GYE,01.11.,,,01.12,,M18169,MAGYARMET,MXS-650DD,"10-00033402-00,Tartalék / 30 bar-os VOP-220-F-RV-C szivattyú",,,CsZ,
SZÉV2022-014,TRUE,GYE,01.12.,,1,01.18,,M21013,MVM PAKSI ATOMERŐMŰ ZRT.,EML-1200V,4 db NTN HSE7014CT2GD2/G3P4 főorsó csapágy,15.000 fordulatú főorsóhoz,,DÁ,
SZÉV2022-015,TRUE,IMP,01.12.,,1,03.18,,M16135,Loko Trans,BNC-40120,Szivattyú és motor hidraulikához,,,CsZ,
SZÉV2022-016,TRUE,GYE,01.13.,,0,01.13,,,Steelforg,EmL-610,8 db 30TAC csapágy (X és Y tengelyhez) + 8 db SZÉV tartalék,,,CsZ,
SZÉV2022-017,TRUE,GYE,01.13.,,0,02.07,,M04205,Gyuró Technik,TNL-100AL2,TNL-100AL2 főorsó csapágy készlet,"Szükségünk van 1 készlet főorsó csapágyra TNL-100AL2 főorsóhoz:
1 db NN3020K
1 db 100BA10xTYDBLP4A
1 db NN3017K",,DÁ,
