SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás/Betárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés,Igénylő
SZÉV2023-001,TRUE,ERA,01.09.,,,,,,SZÉV tartalék,,"3x1,5m 50m kábel
5x0,75 50m kábel 
3x0,75 50m kábel
2x0,75 50m kábel
3x1,5 30m kábel
4x1,5 narancssárga 50m kábel  
4x2,5 narancssárga 50m kábel
3db Omron K8DT-PM2CN (vagy K8AK-PW2) fázisfigyelő
2db Omron H3DK-M1 időrelé
5db XB5 AW33B5 kék gomb
5db XB5 AW31B5 fehér gomb
10db 4-es induktív NO
10db 4-es induktív NC
10db 5-ös induktív NO
10db 5-ös induktív NC
5db 8-as NO-s induktív,
5db 8-as NC-s induktív
5db 12-es NO-s induktív,
5db 12-es NC-s induktív,",Elektromos készlet feltöltés ,Era,DÁ
SZÉV2023-002,TRUE,GYE,01.09.,,,01.10.,,,SZÉV tartalék,,"2db 10-00032953-00 Mindman mágnesszelep MVSC-300-4E1
2db Hinaka HNS523S-DC24V-A szerszámoldó munkah. szelep
2db MVSC-220-4E1-DC24-L szelep
2db MVSC-260-4E2 (DC24 asszem) szelep
5db SB-30 szűrő
5db Danfoss nyomáskapcsoló/szabályzó dobozka
10db 10-01000251-00 Mágnesszelep vízhez BB 3/4""-os menettel + ZB10A mágnes + stekker
10db 10-01000175-00 Mágnesszelep vízhez BB 1/2""-os menettel + ZB10A mágnes + stekker",Mechnaikus készlet feltöltés ,Danfossal tartozom,DÁ
SZÉV2023-003,TRUE,LOG,01.09.,,,01.11.,,,SZÉV tartalék,,"5db EPU kártya (40-10364)
5db EPU-R kártya (40-10364-20)
5db EPU-SIS kártya (40-10364-10)
5db TTLAI kártya (40-10379)
5db TTLCAN (40-10379-02)
3db ENDAT (40-10379-03)",Kártyák készlet feltöltés,,DÁ
SZÉV2023-004,TRUE,GYE,01.09.,,,,,,SZÉV tartalék,,"2db 30TAC62CSUHPN7C
6db 35TAC72CSUHPN7C
6db 40TAC72CSUHPN7C
4db 51104
2db 51204 ",Csapágyak készlet feltöltés ,ok,DÁ
SZÉV2023-005,TRUE,GYE,01.09.,,,2023.01.11,,M11045,Doroti Pack Kft.,EmR-610D, 4db 7012 FEGA/HCP4A csapágy,"Royal 154272
15.000rpm",ok,DÁ
SZÉV2023-006,TRUE,IMP,01.10.,,,,,,K-Kart,TMV-1050-1,"""Z"" tengely védőburkolat // TMV-1050",10-00007031-00,,CsZ
SZÉV2023-007,TRUE,IMP,01.10.,,0,05.20,,M17244,Gamma Műszaki Zrt.,MM-850,Royal főorsó sn:372278-nek teljes egészében csere darabja,,,BÁ
SZÉV2023-008,TRUE,GYE,01.11.,,0,,,M11161,EFT,JCL-60AHD,hidraulika olajhűtő,,ok,LR
SZÉV2023-009,TRUE,IMP,01.11.,,0,,,M15266,Max-Go Kft.,MM-760,"""Y"" első slepp",,,BÁ
SZÉV2023-010,TRUE,GYE,01.11.,,0,01.12,,,Metalforg-Tec Kft,,EL-850 / Vizezőpisztoly,10-00037251-00,ok,CsZ
SZÉV2023-011,TRUE,ERA,01.11.,,,01.25,,,SZÉV tartalék,,5db Manford gépek / Világítótest / LED lámpa (hosszúkás-szögletes)  GLE-L8-24R,10-00007001-00,3db jött,CsZ
SZÉV2023-012,TRUE,GYE,01.11.,,1,01.13,,M13243,BÍRÓ Kft,Tajmac ZPS H400,"2 db 7212 AA
2 db 7205 AA",,ok,BÁ
SZÉV2023-013,TRUE,GYE,01.12.,,,,,M22050,HAHN+KOLB HUNGÁRIA KFT. (GANZ MOTOR KFT.),EML-1200E,1db Forgácskihordó motor Sesame G12V200S-100,,ok,DÁ
SZÉV2023-014,TRUE,GYE,01.17.,,,,,,SZÉV szerszám,,szerszám rendelés,"tartozás miatt nem lett megrendelve, nem aktuális már","Folyamatban , előleg bekérő utalási listában haberkorn fairtool 20230124",DÁ
SZÉV2023-015,TRUE,GYE,01.19.,,0,01.23,,M21076,HD-ROTATECH,MM-850SV,levegőelőkészítő csésze vízező,5-db,1db beküldve. 5 darab utalási listában 2023/01/24,CsZ
SZÉV2023-016,TRUE,GYE,01.19.,,1,,,M16018,Plastic Form,EmR-1200D,4 + 4 db SKF 7014 CDGAT/HCVQ253,,ok,BÁ
SZÉV2023-017,TRUE,IMP,01.20.,,1,03.09,,M18339,SZEGEDI SZAKKÉPZÉSI CENTRUM 062108,Shem CD-6241/1000 hagyományos eszterga,"gépkönyvet, alaktrész lsitás kérünk, mert az előtolás irányválasztó kapcsolójának az egyik füle letörött és szeretnénk egy rajzon pontosan bejelölni, hogy mire van szükségünk",,,LR
SZÉV2023-018,TRUE,IMP,01.20.,,0,,,M14017,AI LAB S.C.,BNC-446,slepp lehúzó gumi (melléklet),,,BÁ
