SZÉV igény szám,Státusz,Felelős,Igény dátuma,"Á(rajánlat)
R(endelés)",Gépállás,Teljesítés dátuma,Áttárolás / Betárolás száma,Munkaszám,Megrendelő,Géptípus,Beszállító,Igény,Megjegyzés,Mennyiség,Igénylő,
SZÉV2024-001,TRUE,GYE,01.08.,,0,01.08.,,,SZÉV,,,"-Géprongy 
- Féktisztító (kis flakonos) min 10 db
- 10-es kesztyű 10 db
- 11-es kesztyű 10 db
- Öntvény pálca 2 db",,,ZM,
SZÉV2024-002,TRUE,GYE,01.08.,,0,01.08.,,M13167,MAGYARMET KFT.,HT-92DT,,608-2RSH csapágy,4+4 db,,ZM,
SZÉV2024-003,TRUE,GYE,01.08.,,0,01.08.,,M13098,STEELFORG,DK-7732F huzalszikra,,NSK 6004 DU csapágy,4 db,,ZM,
SZÉV2024-004,FALSE,GYE,01.08.,,0,,,,SZÉV,,,"2023 dec.22-én emailben küldött tételek beszerzése. szerszámok
- Knipex (78 03 125) oldalcsípő 2 db",,,ZM,
SZÉV2024-005,TRUE,LOG,01.10.,,0,01.24,,,SZÉV,,,"- O8RC kártya 5db
- DSC-10/20-LE szervóhajtás 2db
- iPS1 tápegység 2 db
iPS2 tápegység 2db",,,ZM,
SZÉV2024-006,TRUE,ERA,01.10.,01.11,0,01.11.,2024/000000009,M05215,ROBOKOV,EPA-320,,Mágneskapcsoló / Schneider LC1-D80P7 mágneskapcsoló (37kW; 1NO; 1NC) 1 db,,,HA,
SZÉV2024-007,TRUE,GYE,01.10.,,1,2024.03.05. VS,,M17169,YONIX TRADE KFT,EmL-800B,,AIRTAC GAFR30010ASG Nyomásszabályozó,1+3 db,Automata leeresztés. A GFR300-10 utódja.,ZM,
SZÉV2024-008,TRUE,LOG,0.11.,,0,01.12,,M18229,GESTAMEN KUTATÁS FEJLESZTÉS ZRT,MM-850,,"- EBI farokkábel 1 db
- EBI jeladó elem 1 db",,Határidő FW 3,ZM,
SZÉV2024-009,TRUE,LOG,01.11.,,1,01.12,,M20101,MST,EMB-1300,,A22-54-20-EH/4096 SERVO MOTOR,1 db,,ZM,
SZÉV2024-010,TRUE,GYE,0.11.,,1,01.16,,M06182,METALCONSTRUCT ZRT,TMV-510T,,Szerszámcserélő relé OMRON MKS3PI-5,3 db,,ZM,
SZÉV2024-011,TRUE,GYE,01.09.,,1,01.11.,,M21201,DRIVETRAIN INNOVATION KFT,VD-510,,SMC AW20-F02H-8 Nyomásszabályozó órával,1 db,,ZM,
SZÉV2024-012,TRUE,LOG,01.17,,0,01.17,,M21118,VKSZ,KAFO-NCT KMC-4127,,HPB VM132M-54-40-15-06,1 db,,ZM,
SZÉV2024-013,TRUE,GYE,01.18.,,0,01.19,,M23111,SZÉV,HG-400,,GANZ KK Főkapcsoló (GK 100),1 db,,ZM,
SZÉV2024-014,TRUE,GYE,01.18,,0,01.19.,2024/000000040,M18236,Jandem,MM-850,,Deublin 1109-020-188 forgóátvezető,,1 db,LR,
SZÉV2024-015,TRUE,GYE,01.19.,,0,2024.03.05. VS,,,SZÉV,,,"- Féktisztító 10 db
- Jégoldó 15 db
- Téli szélvédőmosó 15 db
-10-es kesztyű 5 pár
- 11-es kesztyű 5 pár
- Horgany spray 2 db
- Fekete festék spray matt 2 db
- Kék festék spray (HPB motorok festéséhez) 2 db
- Szürke festék spray matt 2 db
- Fehér szigetelőszalag 5 db
- Knipex (78 03 125) oldalcsípő 2 db",,,ZM,
SZÉV2024-016,TRUE,GYE,01.19,,0,,,M04038,BORELA BT,Euroturn12B,,Főorsó és motor szíjtárcsa pár,10.01.: megoldották máshogyan,,ZM,
SZÉV2024-017,FALSE,IMP,01.19.,,,,,M15003,MODUL-BAKE KFT,BNC-1840,,X tengely motor szíjtárcsa,2 db,"4 db szíjtárcsa, 2 db szíj",ZM,
SZÉV2024-018,TRUE,LOG,01.23,,,01.24,,M18331,HARD-FERR KFT,HT-52,,AiB28 retesz nélküli motor EBI1135 jeladóval,1 db,,ZM,
SZÉV2024-019,TRUE,LOG,01.23.,,,01.24,,M18331,HARD-FERR KFT,HT-52,,EPU-SIS,1 db,,ZM,
SZÉV2024-020,TRUE,LOG,01.24,,,01.24,,,SZÉV,,,"- EBI farokkábel 2 db
- EBI jeladó elem 2 db",,,ZM,
SZÉV2024-021,TRUE,GYE,01.24.,,,01.24,,No.356,APTIV,NCT FMC 250,,"""Y"" golyósorsó méretezése, ellenőrzése, rajz módosítása és gyártás",1 db,TÖRÖLVE,ZM,
SZÉV2024-022,TRUE,Babett,01.24,,,04.09.,,M06182,METALCONSTRUCT ZRT,TMV-850A,,Körasztal alkatrészek javításhoz,,Díjbekérő,ZM,
SZÉV2024-023,FALSE,IMP,01.25.,,0,,,M15218,CSABA METÁL ZRT,KMC-3127,,Tartományváltó ajánlat,,Megrendelték,ZM,
