SZÉV igény szám,Státusz,Felelős,Igény dátuma,"KÓDOK: 
ÁA (csak árajánlat kérés)
R (rendelés)
PÜ (utalásra vár)
GY (gyártás alatt)
U (úton van)",Gépállás,Teljesítés dátuma,Áttárolás / Betárolás száma,Munkaszám,Megrendelő,Géptípus,Beszállító,Igény,Megjegyzés,Mennyiség,Igénylő,IMP megjegyzés,GYE megjegyzés,SZÉV megjegyzés
SZÉV2024-323,FALSE,GYE,09.19.,,0,,,M14247,PRECIZ-N KFT. + SZÉV tartalék,MM-1000 + MM-800,Microcut Buffalo,főorsó végén lévő alkatrészek,,2 klt,LR,"gyártó jóváírja, nem tudja szállítani, meg kell nézni le tudjuk e gyártatni. ",,
SZÉV2025-001,TRUE,IMP,01.06.,Á  ,,2025.01.30.,BET2025/00287,,,BAOMA DK 7732,Baoma,"BMW-2008-2 panel, BMXP V8.1  panelekhez árajánlat kérés",,1-1db,Zsombori/FÉMÓ,,,
SZÉV2025-002,TRUE,IMP,01.08.,U,,2025.07.07.,BET2025/02220,M14039 (gysz: 09837/09 2000),METARAD CNC KFT.,TONG-TAI TNL-100A,Tongtai,"5-5 db PVF-30-55-11S szivattyú + JIACHENG 90L 1,5 KW 90L villanymotor (1 db Metarad, 4 db SZÉV tartalék)",Csatolt email/fotó,5-5 db,Zsombori Pál,"SZR2025/01554 hajóval érkezik 25024/043 NCT: 07.03-04. Fuvardíj: 1018,70 USD (szla: 909614/25)",,
SZÉV2025-003,TRUE,GYE,01.09.,R,,2025.01.10.,2024/00000029,"TH0558, B7056",Mediagnost,"Kondia B640 , Főorsó","Berkoa, SP","Csapágy, 6202 2Z  1 db
Csapágy, 6201 2Z  1 db
Csapágy, 7010 CTRDULP3  2 db",Csatolva email,1-1-2 db,Smici. Peti/AL,,,
SZÉV2025-004,TRUE,IMP,01.09.,Á  ,,2025.01.14.,,M17158,NORTON 4 kft,TCS-2500LDT(TT0404460),Tongtai,Főorsó és főorsó jeladó mechanika felújítása:csapágyak és szíjak típusai,,,Zsombori/Norton,,,
SZÉV2025-005,TRUE,GYE,01.13.,R,,2025.01.13.,BET2025/00096,,Kokilla,VD-510,,gép tárforgató mechanikájához szükségünk lenne 2 db 30203-as csapágyra.,,2,Zsombori/kokill,,,
SZÉV2025-006,TRUE,ERA,0.13,R,,,,,ALSTOM,Mitsubishi,,Mitsubishi gép x-tengely motorkábel,,1,Zsombori/Alstom,,,
SZÉV2025-007,TRUE,GYE,01.14.,R,,2025.01.15.,"2025/000000065, BET2025/00105",,BAV kft,TCS-2000 száladagoló,TongTai,TongTai,,1,Zsombori/BAV,,,
SZÉV2025-008,TRUE,ERA,01.14.,R,,2025.03.13.,2025/000000379,,Szerviz raktár,,,"Kapcsoló / ELR W3-24DC/500AC-9I irányváltó kapcsoló 9A (2297057),20-00002868-00",Csatolt email,2 db,AL,,,
SZÉV2025-009,TRUE,LOG,01.14.,R,,"2025.02.07.
2026.01.07.","2025/000000200
2026/000000004",,Szerviz raktár,,,"EBI-BAT lithium elem egység EBI 1135 jeladóhoz (elem egység)_új F, 40-00010700-81",Csatolt email,30 db,AL,,,
SZÉV2025-010,TRUE,GYE,01.15.,Á  ,,,,M04094,,FV30,,"Nagyszervíz:  Főorsó csapágycsere, Motorcsapácgy csere,",,,zsombor,,Gépkönyv elérhető a hálózaton.,
SZÉV2025-011,TRUE,GYE,01.15.,Á  ,,,,,,,, ETB 960/4000 gép ajtómegvezető sínhez kocsi 84.040.009 cikkszámúból kell 4 db,,4db,Zsombori/MSK,,Nem kérik.,
SZÉV2025-012,TRUE,IMP,01.16.,R,,2025.01.31.,BET2025/00447,,Szerviz raktár,VD-510,,"E-37TE-001, Tartalék / Habor vezérlőegység / HSP-E-23C-HB403-SN3, 10-00032814-00",Csatolt email/ fotó,3 db,AL,,,
SZÉV2025-013,TRUE,IMP,01.16.,R,,2025.06.10.,BET2025/01867,,Szerviz raktár,Manford gépek,Manford,"1. Kérlek rendelj mind a 7 db géphez az Item no. szerint 1-1 készletet.
VD-510
EL-850
VL-1000
VL-1200
VL-1600
VU-620
MSL-200
2. Kérlek rendelj az MXS P-207.png-ből 2 db-ot",Csatolt email/ fotó,1 klt.,AA,Gépek mellett érkezik,,
SZÉV2025-014,TRUE,GYE,01.16.,Á  ,,,,,MSK,Euromill-3000,,Euromill-3000 berendezés ugyanezen szűrőbetétje.,Csatolt email/ fotó,,,,GYE küldi,
SZÉV2025-015,TRUE,GYE,01.16.,R,,2025.02.03.,,,Szerviz Raktár,,,"Mol zsír  15 doboz
Teflon szalag  20 db
WD40 20 flakon
Szilikon piros 1 karton
Szilikon Fekete 1 karton",Csatolt email,,AL,,,
SZÉV2025-016,TRUE,GYE,01.17.,R,,2024.01.20.,BET2024/00148,,YONIX kft+Tartalék,EmL-800,,7012CTRSULP3,,2+4/ 2 db érkeztt,Pál Ignác,,Tartalék nem lesz,
SZÉV2025-017,TRUE,IMP,01.17.,R,,Nincs kiváltó nem gyártanak hasonlót elavult termék,,M17186,METALCONSTRUCT ZRT.,VD-510S,Suenn Liang gyártó nem tud adni ilyet,"SP-TBSW-10050 trafó 3 db (1 db M17186, 2 db SZÉV tartalék)",Csatolt email/ fotó,3 db,AA,kiváltót keressetek kérlek a termékre! ,,
SZÉV2025-018,TRUE,GYE,01.20.,R,,2025.01.29.,,,Szerviz Raktár,,,"Tányérrugó / S4305 31,5x16,3x2 mm,10-00002545-00",Csatolt email,100 db,AL,,,
SZÉV2025-019,TRUE,IMP,01.20.,R,,2025.05.29.,BET2025/01788,,Szerviz Raktár,,East Lion,"Tartalék / Szerszámtartó zseb EmL-3000 DIN50,10-00009550-00,10 Szerszámgépek tartozékai",Csatolt email/Fotó,3 db,AL,Vámkezelésen van 020-00234511,,
SZÉV2025-020,TRUE,IMP,01.20.,Á  ,,,,,Szerviz Raktár,Hurco TM6 eszterga,,SGDH-10AE Yaskawa Hajtás árajánlat,,1,Zsombori Pál/AA,,,
SZÉV2025-021,TRUE,GYE,01.20.,Á  ,,2025.01.22.,2025/000000101,M07017,C-Mechanik Kft,TNL-100 A2 (gysz: 19561 NCT),,"Gépkönyvünk alapján (TNL85/100) ezt a típusú ékszíjat adja a katalógus:
81123-051650 
Szíjak méretei mérés alapján:
Hossza:1950mm
Szélesség: 38mm (3 borda)
Magasság: 7,5mm
Profil magasság: 5mm

Darabszám 2",Csatolt email,2,Zsombori Pál,,,
SZÉV2025-022,TRUE,GYE,01.20.,Á  ,,20025.02.04.,BET2025/00333,M21259,TECHNOPLAST GROUP KFT. ,EML-1020E,,4 db lineáris vezeték papucs: YJI82240-2,Csatolt email/Fotó,4 db ,Kovács Péter,,,
SZÉV2025-023,TRUE,IMP,01.20.,Á  ,,,,M10279,MOBILINTER KFT.,JSL-26AB (gysz: 26AB-0254),JinnFa,"S3-ra kihajtó bordásszíjat szeretnénk cserélni, képet is csatoltam",Csatolt email/Fotó,1 db,AA,,,
SZÉV2025-024,TRUE,IMP,01.20.,R,,2025.06.13.,BET2025/01941,M23166,MSK HUNGARY BT.,KAFO-NCT RV-3122 5 AXIS (gysz: 746120),KAFO,"A következő tételekre szeretnék ajánlatot kérni
KAFO géphez szükséges 5 mikronos levegőszűrő               3db
KAFO géphez szükséges 0,5 mikronos levegőszűrő           3db
KAFO géphez szükséges Hidraulika olaj szűrő                      4db",Csatolt email,1 klt.,Molnár Szabolcs,"miért nincs még kipipálva?
Nem volt infóm, hogy ezek is 026-031-126-os igényekhez tartozik, de Ignác modta, hogy abban voltak ezek is, így most már le tudom zárni őket",,
SZÉV2025-025,TRUE,IMP,01.20.,R,,2025.06.13.,BET2025/01941,M23167,MSK HUNGARY BT.,KAFO-NCT RV-4122 5 AXIS (gysz: ?),KAFO,"A következő tételekre szeretnék ajánlatot kérni
KAFO géphez szükséges 5 mikronos levegőszűrő               3db
KAFO géphez szükséges 0,5 mikronos levegőszűrő           3db
KAFO géphez szükséges Hidraulika olaj szűrő                      4db",Csatolta email,1 kl.,Molnár Szabolcs,N,,
SZÉV2025-026,TRUE,IMP,01.20.,GY,,2025.06.13.,BET2025/01941,M20017,Csaba-Berény,KAFO-NCT BMC-2616 (gysz:760428),KAFO,"Kérünk árajánlatot és szállítási határidőt a gépen lévő összes víz, olaj és levegőszűrőre.",Csatolt email,1 klt.,AA,05.27 érkezik ATS,,
SZÉV2025-027,TRUE,IMP,01.20.,Á  ,,2025.06.13.,BET2025/01941,M20082,Bognár és Társa Kft.,KAFO-NCT KMC-3122 (gysz: 772113),KAFO,"Kérünk árajánlatot és szállítási határidőt a gépen lévő összes víz, olaj és levegőszűrőre.",Csatolt email,1 klt.,AA,"ÁA itt, ÜFválaszára vár",,
SZÉV2025-028,TRUE,GYE,01.17,R,,2025.01.20.,,M24068 / M11217,AGA-VAS FÉMMEGMUNKÁLÓ ÉS FÉMSZERKEZETGYÁRTÓ KFT.,EmR-1200D,,Deublin 1109-020-188,Csatolt email,1 klt.,Pál Ignác,,tartalék nem lesz,
SZÉV2025-029,TRUE,GYE,01.20.,R,,,,M23170,MSK HUNGARY BT.,EM-1500E 3.gép (gysz: V15-BT202404352),,"1101-202-651 Deublin forgócsatlakozó (KAFO-tól, 1 db)",Csatolt email,1 db,AA,,szévre vár,
SZÉV2025-030,TRUE,IMP,01.20,R,,2025.05.29.,BET2025/01788,M23170,MSK HUNGARY BT.,EM-1500E 3.gép (gysz: V15-BT202404352),,"UNITTA 825-5GT (EAST LION-tól, 5 db)",Csatolt email,5 db,AA,Vámkezelésen van,,
SZÉV2025-031,TRUE,IMP,01.21.,U,,2025.06.13.,BET2025/01941,M23166,MSK HUNGARY BT.,KAFO-NCT RV-3122 5 AXIS (gysz: 746120),KAFO,"Szögfej alkatrészek 
Upper module.pdf, C axis.pdf, A axis.pdf",Csatolt email,1 klt.,AA,05.27 érkezik ATS,,
SZÉV2025-032,TRUE,IMP,01.21,Á  ,,ÜF nem kéri,,M07153,MSK,EM-3000 (gysz: BT2071002),???,"Gyártó: EAST LION
Géptípus: EM-3000
Gyári szám (M szám): BT2071002 (M07153)
Igény: Komplett szűrőfiók, a szűrőlap és az azt tartó acél tálca, lásd a képen.",Csatolt email/Fotó,1 db,AA,East lion helyett más beszállító kell vagy tervezni,GYE esetleg tud segíteni belföldről? ,
SZÉV2025-033,FALSE,ERA,01.21,R,,,,M05090,MICROMARK IPARI ÉS MARKETING KFT.,Chiron FZ-12S,,"Gyártó: CHIRON (ROLATAST BT.-től rendeltünk 2012-ben)
Géptípus: FZ-12S
Gyári szám (M szám): 103-22 (M05090)
Igény: Chiron FZ12 gépunkhoz szeretnénk rendelni 2 db képen szereplő jeladót.",Csatolt email/Fotó,2 db,Zsombori Pál/AA,,,
SZÉV2025-034,TRUE,IMP,01.21,R,,2025.02.06.,BET2025/00416,M18254,MST, TCS-2000L,Baruffaldi,"Gyártó: Baruffaldi
Géptípus: TBHMA 200 16 K56.A020.3141C81.10F
Gyári szám (M szám): 15492/2019 (M18254)
Igény: Komplett tömítés szett",Csatolt email/Fotó,1 klt.,Gulyás József,,,
SZÉV2025-035,FALSE,IMP,01.22.,U,,Raktárról megoldódott,,M17239,MST,HT76,Microcut/Buffalo,HT76 hajtott szerszámos esztergánk szerszám belsőhűtés szivattyú. (SALY VOP-220-F-RV-C),Csatolt email/Fotó,1 db,Kovács Péter,"2026.01.13.-án kifizettük, jöjjön tartaléknak",import!,"Ignác jún. 6., P 10:53 A hibát raktárról elhárítottuk."
SZÉV2025-036,TRUE,IMP,01.22.,ÁA,,,,,SZÉV raktár,Olajhűtők,KAUKAN,NCT FOGARASI ÚT 2025.01.16-17.xlsx szerinti lista +1 db tartalék.,Csatolt email/Fotó,1 klt.,Pál Ignác,"januári téma, ...foglalkozni kell vele",,
