SZÉV igény szám,Státusz,Felelős,Igény dátuma,"KÓDOK: 
ÁA (csak árajánlat kérés)
R (rendelés)
PÜ (utalásra vár)
GY (gyártás alatt)
U (úton van)",Gépállás,Teljesítés dátuma,Áttárolás / Betárolás száma,Munkaszám,Megrendelő,Géptípus,Beszállító,Igény,Megjegyzés,Mennyiség,Igénylő,IMP megjegyzés,GYE megjegyzés,SZÉV megjegyzés,
SZÉV2026-001,TRUE,GYE,2026.01.05.,R,,2026.01.12.,Még nincs!,M09131,KOKILLA PREC KFT.,VMC-1600F,,2 db 7003 UC G/GNP4 csapágy,,2 db ,TV,,,,
SZÉV2026-002,TRUE,IMP,2026.01.05.,U,,2026.03.20.,BET2026/00955,M15076,S.C.STEIGER SRL,FBE-3000,EUMACH,FS-050 Áramlás figyelő 10-00033900-00,,1db,ZSP,FEDEX 364656693,,,
SZÉV2026-003,TRUE,GYE,2026.01.07.,R,,2026.01.09.,BET2026/00145,M22035,TECHNOORG-LINDA KFT.,MM-850SV,,"20-00002158-00,Forgócsatlakozó / Deublin (1109-020-188) forgócsatlakozó",,1 db ,TV,,,,
SZÉV2026-004,TRUE,IMP,2026.01.12.,U,,2026.04.08.,BET2026/01371,,Szerviz raktár,VD-510,MANFORD,10-00033726-00 Tartalék / VD-510 / Szűrőház szűrőbetét,,30 db,ZSP,"Inv.B103-26031101
020- 36165220 / MTP2603224
érk.NCT. Fogarassi útra: 04.08-10.",,,
SZÉV2026-005,TRUE,GYE,2026.01.12.,R,,2026.01.14.,2026/000000133,,Arzenál,DUAL 65LY,,10-00037041-00 emulzió visszavezető cső,R2026/00047,25m,ZSP,,,,
SZÉV2026-006,TRUE,IMP,2026.01.13.,PÜ,,,,,Szerviz raktár,,"East Lion Enterprises Co.,Ltd.","Tartalék/piros színű szűrőbetét East Lion, 10-00025609-00",Csatolt email,2 db,AL,"EL-2-22-1        East Lion        $574,50",,SZÉV2025-410,
SZÉV2026-007,FALSE,EGY,2026.01.13.,R,,,,,Szerviz raktár,,,"Ai2.5-54-40-EH/4096-Z1 szinkron szervomotor:, 40-00011062-00",Csatolt email,2 db,AL,,,,
SZÉV2026-008,TRUE,IMP,2026.01.13.,PÜ,,2026.04.08.,BET2026/01371,M17232,AERO SPACE POWER kft,MM-850,MANFORD,"tármozgató munkahenger 63x20x255 MT420001 9kg/cm
X golyósorsó  C041-EL0850-XR400 10-00032948-00",,1 db,ZSP,"Inv.B103-26031101
020- 36165220 / MTP2603224
érk.NCT. Fogarassi útra: 04.08-10.",,,
SZÉV2026-009,TRUE,EGY,2026.01.19.,R,,2026.01.26.,2026/000000086,M23031,Schaefer technologies,MM-850,NCT,"NCT304 19"" komplett monitor",,1 db,PI,,,,
SZÉV2026-010,TRUE,IMP,2026.01.19.,U,,2026.05.13.,BET2026/01729,,Szerviz raktár,,KAFO,"Tartalék / KAFO szűrőbetét / 5300000141 Filter PRF70K-25(25u), 10-00023206-00",Csatolt email,10 db,AL,PI260120-1 ,,,
SZÉV2026-011,TRUE,ERA,2026.01.19.,R,,2026.01.26.,2026/000000068,,Szerviz raktár,,,"Nyomógomb / Schneider XB4 BW36B5 (kék ledes nyomógomb 24VDC), 20-00008945-00",Csatolt email,5 db,AL,,,,
SZÉV2026-012,FALSE,GYE,2026.01.19.,R,,,,,SZÉV,,,Csapkihúzó készlet,,1 db,PI,,,,
SZÉV2026-013,FALSE,GÉPÉSZ,2026.01.19.,ÁA,,,,M19058,PRODESA MEDIOAMBIENTE SL - PART OF PRODESA GROUP,HCD-16,NCT,Spare part list,,,HA,,,,
SZÉV2026-014,FALSE,GÉPÉSZ,2026.01.19.,ÁA,,,,M16021,PRODESA MEDIOAMBIENTE SL - PART OF PRODESA GROUP,CHM-16,NCGÉP,Spare part list,,,HA,,,,
SZÉV2026-015,FALSE,EGY,2026.01.19.,R,,,,M19005,T.E.T.T.,MSL-200,,DSC-10/20-LE,,1 db,PI,,,,
SZÉV2026-016,TRUE,GYE,2026.01.20.,R,,2026.01.21.,2026/000000051,,SZÉV,,SZÉV,AiS100 csapágykészlet CC2-10-5029,,1 db,ZSP,,,,
SZÉV2026-017,TRUE,GYE,2026.01.21.,R,,2026.01.27.,2026/000000105,,Szerviz raktár,,Plusz & Roll Kft,"Csapágy / 6203 2Z SKF, 10-00037936-00
Csapágy / 6205 2Z SKF, 10-00037354-00",Csatolt email,"2 db
4 db",AL,,,,
SZÉV2026-018,TRUE,IMP,2026.01.22.,ÁA,,2026.06.19.,BET2026/02284,,Szerviz raktár,,moujenswitch,Solon kapcsoló (HINAKA),,20 db/ 5 db érkezett,PI,"A MANFORD  kiváltó másmilyen, nem kell",,"Kiváltó: 
https://www.moujenswitch.com/product/mn-5100/",
SZÉV2026-019,TRUE,GYE,2026.01.23.,R,,2026.01.27.,2026/000000104,,Szerviz raktár,,Plusz & Roll Kft.,"Tömítés / Szimering / Radiális tömítőgyűrű 50x65x7 T2, 10-01001361-00",Csatolt email,10 db,AL,,,,
SZÉV2026-020,FALSE,LOG,2026.01.23.,R,,,,,Szerviz raktár,,,"Li gombelem 20x3,2mm CR2032,20-00004583-00",Csatolt email,10 db,AL,,,,
SZÉV2026-021,TRUE,ERA,2026.01.23.,R,,2026.04.16.,2026/000000481,,Szerviz raktár,,Omron Electronics Kft.,"Omron SHL-Q2255 kapcsoló görgős, 20-00002037-00",Csatolt email,6 db,AL,,,,
