Beérkezés dátuma,Kiküldés dátuma,MEGRENDELŐ,Géptípus,Megnevezés,Bejelentett hiba,Elvégzett munka (szervizlapra írandó),Megjegyzés,Telephelyi Munkaidő,"Tervezési
 feladat",Beszerzett alkatrészek,Anyagktg. (nettó beszerzési árak!),"Mérési 
eredmények",Kész - 1
2018.12.20.,2019.01.10.,Biotech Kft.,DK-7732F (M14066),Huzalszikra megvezető görgők,Görgők átcsapágyazása,"Átcsapágyazás, tisztítás",,4 óra,-,,,-,1
2018.12.21.,2019.01.09.,Albert Kft.,TMV-510T-1 (M05050),Főorsó (12 000 rpm) és Lenze MDFKARS080-22,"főorsó beállt, kézzel sem lehet forgatni","A csereorsó vissza lett hozva, főmotor átcsapágyazás, járatás, próba","12.21.Gulyás csere orsót vitt, de maradt a régi főorsó, főmotor behozatala SZÉV-be",6 óra,-,"Csapágyak:
- 1 db 6004-C3-2Z
- 1 db 6205-C3-2Z
Jeladó:
- 1 db Tamagawa TTL 1024
- 1 db ventilátor , cikkszáma: 20-4076",,-,1
"2018.10.15.
2018.12.10.
2018.12.14.","2018.10.18.
2018.12.13.
2019.01.07.",Inlong,EEN-400,Sauter 0.5.473.512-107608 revfej,"tárcsa magunk felé forgatva nem áll meg, Harting-csatlokozók cseréje,vizezés ellenőrzése, hajtott szerszám ellenőrzése (helyszínen nem merték megforgatni)","Szétszedés, átvizsgálás;
A revfej tárcsa alatt a kuplungnál beázott, kitakarítás, új tömítések bekérése;
Új kuplung agyat, tüskét is be kell szerezni;
12.12. szétszedés, újonnan berendelt alkatrészek beépítése;
12.13. új kábelezés készítése, bevezetése, kiszállítás ügyfélhez;
12.14. revfej vissza SZÉVbe, revfej leültetési hiba, időntúl hiba;
12.17. a gyári indexáló tüskével nem megfelelő pozícióba reteszelt a revfej, a nem-gyári tüskével a járatás során működött. A revfej visszaszállításra került az ügyfélhez, ahol a visszaszerelt szerszámtárral ismét pozíciót tévesztett a revfej. Visszaszállítás SZÉV-be, hibakeresés.
01.14. komplett kábelezés, anakondák cseréje, járatás lett elvégezve","10.17. járatva, tesztelve mindkét irányba forgat, leül. 
10.18. A revfej visszaszállításra kerül ügyfélhez, cserealkatrészek beérkezéséig használja;","1. kör: 8 óra
2.kör: Smici: 8 óra, Ervin: 8 óra",-,"O-gyűrű:
- 1(+9) db 38.00 x 1.50
- 1 db 89.00 x 3.00
- 1 db 120.00 x 3.00
- 1 db 142.00 x 3.00
- 1 db 165.00 x 3.00
Kábelezés:
- 2 x 1.30 m anakonda
- 1.5 m narancs motorkábel
- 1.5 m 25x0.75 kábel
- 1.5 m jeladó kábel
- 1.5m 2x1 kábel
Gyári cserealkatrész csomag:
- reteszelő tüske
- hajtott szerszám bordásagy
- hajtott szerszám kihajtás javító csomag",,-,1
2018.07.12.,2018.12.20.,NCT SZÉV tartalék,EmR-1020D (M14181)(Litze) ,Főorsó (15 000 rpm),"Átcsapágyazás, kúpköszörülés","Orsó szétszedése
Munkahenger javításra elküldve Ricsihez.
07.25. visszajött kúpköszörülésről a főorsó, 07.27. Összerakva, kiórázva, MUNKAHENGER még hiányzik
08.07. munkahenger várhatóan augusztus vége felé lesz;
12.20. FELHASZNÁLHATÓ","
",16 óra,-,"Csapágyak:
- 4 db NSK 70BNR10HTV1VDUELP3
O-gyűrűk:
- 1 db 4.76x1.78
- 6 db 6.50x2.00
- 5 db 145.00x3.18 
- 2 db 22.00x2.50 
- 3db 36.00x3.5
Tányérrugók:
- 58 db 40x20,50x2,50",,"Behúzóerő: 10,8 kN",1
2018.11.21.,2018.12.05.,CAADEX,KAFO KMC-5127 (M17064),Főorsó (6 000 rpm) és hajtómű,"Szerszám beletört a kúpba, kuplung eltörött","Széthúzás, állapotfelmérés, kúpköszörülés, átcsapágyazás, összeépítés, kiórázás;
Szállítható","Kuplungból, menesztő diókból, csapágyakból új kell;
11.22. Cső elküldése köszörülésre Losonczihoz;
11.30. visszajött Losonczitól az orsó;
12.03. összeszerelés, Gobua főorsó jeladó tesztelése;

Eredeti csapágyak:
5 db NTN 5S-7020UAD GCS02-IP4;
Jeladó:
1 db Gobua GS-05A (ID31150106N12 Sr.G50007490)",Smici: 16 óra,-,"Csapágyak:
- 5 db NTN 5S-7020UAD GCS02-IP4
Kuplung:
- 1 pár
Menesztő diók:
- 2 db ",5155 USD,,
2018.11.21.,2018.11.30.,NCT SZÉV Tartalék (GIA FORM),Topper TCS-2000 (M17249),HPB VM132S főmotor,Csapágyas,"11.25. széthúzás, átcsapágyazás;
11.27. eredetileg behozott motor összeszerelése, Hulmány Peti megjáratta, tartaléknak elrakva","11.22. Ügyfél kapott cseremotort, Táti szerelte be;
11.27. jeladó nem lett cserélve!",Smici: 8 óra,-,"CSAPÁGYAK:
- 1 db 6307 ZZ C3
- 1 db 6309 ZZ C3 ",,-,1
2018.11.26.,2018.12.01.,Szalóky,CME FS-0 (M05018),motororsó,"főorsó megszorult, nem mozdul","Munkahenger megbontás, átvizsgálás, tömítések készíttetése, cseréje, összerakás, próba;
11.30. szállítható",11.27. munkahenger elvitele Seal Ring-hez új tömítések gyártatására,14 óra,-,,,-,1
2018.11.13.,2018.11.26.,Tari-Prod,JCL-60YTSM (M14286),HPB VM132S főmotor,Testzárlatos,"Széthúzás, áttekercseltetés, átcsapágyazás, összeépítés, járatás, egyensúlyozás;
11.26. szállítható","Tekercseltetés: Zsombori
11.14. Dévaványa viszi;
11.16. forgórész átcsapágyazva;
11.21. állórész visszajött;
11.23. motor összerakva, járatni, egyensúlyozni kell",8 óra,-,"Dévaványánál állórész tekercselése:nettó 105.000 Ft
Csapágyak:
- 1 db 6307 ZZ C3
- 1 db 6309 ZZ C3",,-,1
2018.10.25.,2018.11.23.,First Tech Kft FT-Line Kft,TB-20Y AMS (M12317),AMS180LW20H Orsómotor,Testzárlatos,"Széthúzás, áttekercselés, átcsapágyazás, összerakás","Az állórész házából folyt a víz; Turi Miki folytatta az orsó szétbontását;
11.12:csapágyak megrendelve;
11.14. Dévaványa visszahozza az állórészt;
11.15. forgórész átcsapágyazva;
11.20. összerakva, járatni, egyensúlyozni kell;
11.22. szállítható","Eddig: 22 óra
Turi Miki: 6 óra",-,"Csapágyak:
- 2db B7026-E-T-P4S-UL (net 137.544 Ft/db) 
- 1db N1022-K-M1-SP (144.855 Ft)
Tekercselés: nettó 105.000 Ft
O-gyűrűk:
- 2 db 200x3,5",419.942 Ft,-,1
2018.10.19.,2018.11.22.,Spiller 2000,SC-30Ms,Motororsó (6 000 rpm),"műszakkezdéskor füst, égett szag kíséretében megállt a motororsó",Széthúzás,"Az állórészben víz nem volt található; a kifolyó nyílások le voltak dugózva;
10.30. Villtekhez kiszállítva az állórész tekercse;
11.07. Villtektől visszajött az állórész;
11.16. motor összerakva, nyomáspróbázva, a nyomást tartja, felvíve Rákosréti Józsinak járatásra;
11.20. motor megjáratva, kiegyensúlyozva, szállítható;","Smici: 16 óra
Rákosréti: 6 óra",-,Villtek áttekercselés ára:,,-,1
