Beérkezés dátuma,Kiküldés dátuma,Cég neve,Géptípus,Megnevezés,Bejelentett hiba,Elvégzett munka (szervizlapra írandó),Megjegyzés,Telephelyi Munkaidő,"Tervezési
 feladat",Beszerzett alkatrészek,Anyagktg. (nettó beszerzési árak!),"Mérési 
eredmények",Kész - 1
2020.06.15.,,Gép és Ferrotech (M20054),NCT-HBM-160 (PEGARD PRECIVIT AF160.S?),Szögfej,Felújítás,"Tisztítás, szétbontás, átvizsgálás, gépészeti feladatok, szögmérő kiépítésének megtervezése;
öntvényházak, tartozékok festése, tisztítása és átmunkálása Taksonyban, tervezett alkatrészek legyártatása;
Csapágyak beméretése, új csapágyak beszerzése;","Alkatrész lista:
- 1 db orsóház - eredeti
- 1 db öntvényház ""harang"" - eredeti
- 1 db tartókeret - eredeti
- 1 db csigakerék - eredeti, átmunkált
- 1 db közlőtengely a gépi főorsó és a szögfej közé - gyártott
- 2 db menesztő dió - gyártott
- 1 db adaptergyűrű - gyártott
- 1 db olvasófej tartó - gyártott
- 1 db oldal burkolat a harangra - gyártott
- 7 db mágnesgyűrű burkolat - gyártott
- 1 db AMO mágnesgyűrű
- 1 db olvasófej",,Muzsek René; Fűz Zoli,"Csapágyak:
- Timken kúpgörgős csapágy készlet (Tral Trade)
AMO mágnesgyűrűs útmérő rendszer:
- 1 db WMFA1010A10- 1024-MF-AA13 ..  -001-83 / ID 1195847-09 abszolút szögmérő gyűrű
- 1 db WMKA2010S .0110..NN-20- 1024- 1.00-1SS08-C4 ..  -001-83 / ID 1157637-P8 abszolút szögmérő olvasófej
Egyéb:
-  3 db 62-es seeger gyűrű furatba (82,50 Ft / db)",,,
2020.08.04.,,Dömötör István EV,Snupy (M10164),Esztergagép,"Szerződés szerinti munkák, javítások","1. Sauter revfej: leültetési hibák, csak 2 szerszámhely volt használható; korábban rendelt alkatrészek beépítése
2. ""Z"" tengely hangos: golyósorsó kopott, szabadon forgatva is hangos, Szimikronnak eljuttatva 09.11., feljavítva, visszaépítve;
3. ""X"" tengely kottyan: a szíjtárcsa lötyögött a tengelyen, újraillesztés, ""X"" tengely beállítása éklécekkel, csapágyak újrahúzása;
4. Vezérlőcsere NCT 201-ről 304-re;
5. Főorsó leszúráskor beremeg?
6. Főmotor ventilátor hangos? Ventilátor motor átcsapágyazás
7. Hűtővíz szivattyú hangos? Szivattyú motor átcsapágyazás
8. Vezetékvédő harmónikák szakadtak, újak gyártatása -> Gépőr Kft
9. Szegnyereg 1 óra alatt kitolódik teljesen magától? -> nálunk nem jelentkezett
10. Hűtővíz nyomás minimális? -> új hűtővíz cső gyártása megfelelő fittengekkel (Optimit)",Fun fact: Sauter fejen Baruffaldi tárcsa van!,Smici: 40 óra,,"""X"" tengely behajtás oldal:
- 1 db SNR 6009 EE (10-00016482-00)
""Z"" tengely
- 2 db ZKL NU204 hengergörgős csapágy (10-00000204-10)
- 2 db SIM30x40x7 S HMSA10 RG
- 0,5 m Törlő / Vezetéktörlő BA-18 (L=1000 mm),10-00001144-00
- 1 db 10-00016806-00 Védőharmónika / Snupy(1.) M11228
- 1 db10-00016807-00 Védőharmónika / Snupy(2.) M11228
Szivattyú:
- 1 db 6202 ZZ (10-00002551-00)
- 1 db 6203 ZZ (10-00002751-00)
Ventilátor motor:
- ZVL 6201 2RS (10-01011134-00)
- ZVL 629 2Z (10-10000629-01)
Revfej:
- 1 db M8-as T-anya [10-00008587] (Sauter: 064915)
Vizezés:
- 1 db hidraulika cső 2 m + 1,2 m (egyik vége M14x1,5; másik: M22x,15) (Optimit Kft.)","Gördülő Simmering (2020.09.15.)
4647,04 Ft 
Gördülő Simmering (2020.10.22.)
192 Ft
Optimit Kft. (2020.10.28.)
7703 Ft",-,
2020.11.23.,,Industribedarf Krüger,Euroturn-12C (M13105),Főorsó és ellenorsó; Baruffaldi TBMA-100,Felújítás,,,,,,,,
2020.11.19.,,Biotech,Kondia B640,GSA CNC-201R (S/N: 0421444 - 2004-10) körasztal,körasztal szorul; Harting csati cserére szorul,,"TARTOZÉKOK BEHOZATALKOR:
- 1 db tokmány + felfogólap",,,,,,
2020.11.19,,Duna Precizíós,EmR-610D (M14287),AiS 100-LW 15.000 rpm főmotor (CC2-10-097),Csapágyazás,,"TARTOZÉKOK BEHOZATALKOR:
- 1 db GS38 Rotex kuplung - rozsdás
- 1 db zöld kuplung csillag GS38-hoz, kopott
- 1 db rövid, vékony vízátvezető tengelyvégbe (levegős kivitelnél)
- 4 db hidraulika csatlakozó (köpeny + csapágyhűtés)
- 1 db kábel csapágyhőmérséklet figyelésé
- 1 db hidraulika cső pajzs hűtés
- 1 db kötődoboz + tartólap
- 1 db emelőszem a hátulján
- 1 db levegőbevezetés a hátulján 8as csőhöz
- 2 db tömszelence műanyag
- 1 db pg21 gégecső + 2 db pg21 karmantyú - kábelvédelem",,,,,,
2020.11.xx.,,Pannon-Spirál,VMC-1600F (M10291),Royal 10.000 rpm főorsó,Felújítás,,,,,,,,
2020.10.29.,2020.11.27.,Metarad,TCS-1500 (M14229),Baruffaldi TBMA-200,mindene rossz,"revfej eleje lett behozva a hajtott szerszámos csoporttal, az alkatrészek rendkivül koszosak, a csapágyak mind beállva a szeméttől, ",,,,"Csapágyak:
- 2 db SKF 16004 (Gördülő Simmering Kőrösi Cs. S. út)
- 1 db KBS 61907 (Gördülő Simmering Nagy L. k. út)
Tömítések (Seal Ring BET2020/03657):
- 1 db O 10,82 x 1,78 NBR70
- 1 db O 34,65 x 1,78 NBR70
- 1 db Gyűrű / O gyűrű 53,7x1,78
- 1 db O 05,28 x 1,78 NBR70
- 1 db O 12 x 1,8 NBR70
- 2 db O-gyűrű 130x2,5
- 2 db O 120,24 x 3,53 NBR70
- 1 db GY K8 31 x 26,1 x 2,3 (fém) FLON3
- 1 db O 24,5 x 2 NBR70
- 1 db GY K8 28 x 23,1 x 2,2 (fém) FLON3
- 1 db O 21,5 x 2 NBR70  
- 1 db GY S9 35 x 43,2 x 3,2 (fém) FLON3 
- 1 db O 37,77 x 2,62 NBR70  
- 1 db GY S9 26 x 31,2 x 2,2 (fém) FLON3
- 1 db O 28 x 2 NBR70
- 2 db S 35 x 47 x 05 RST FPM80
- 2 db  O 245 x 2,5 NBR70
- 3 m O zsinór 01,78 MM NBR70 ","Seal Ring:
15.240,97 Ft
Gördülő Simmering:
4842,44 Ft",,
2020.08.07.,,Krüger Czetec,HG-400 (V.) (006) (M15086),Motororsó,Motor zárlatos,"Szétbontás, átvizsgálás, nyomáspróba",,,,,EMTC (gyantakiöntés) 24180 Ft,,
2020.07.21.,,Pro Form Kft.,EmR-1304D (M13166),"Főorsó 15.000 rpm
(SN: 182932)",Munkahenger ereszt,Munkahengert Ricsinek kiküldtük; orsó átcsapágyazása;,"Ügyfél csereorsót kapott!
SN: 204082
SZL: 27192",,-,4 db NSK 70BNR10HTSUEL,,,
2020.07.13.,,Alu-Meta Sistem,MM-760 (M14056),Cells 8.000 rpm főorsó,Főorsó felújítás,"Totálkáros a főorsó, szétégett belülről, csapágyat le kellett flexelni a főorsóról, csapágy a valszeg fészekben megforgott
Új csapágy távtartó gyártása (Juhász)",ÜF csereorsót kapott!,,Muzsek René,"Csapágyak:
- 4 db NSK 7012CTRSULP3
Szíjtárcsa:
- 1 db 5GT-68T (10-00033115-00)
Tányérrugók:
- 68 db 34.00x16.30x2.00
Tömítések:
- 1 db 6x1 NBR70
- 1 db 7x1 NBR70
O-Gyűrűk:
- 4 db 113.4mm x 3.10mm ",,,
