Sorszám,Kész,Munkaszám,Beérkezés,Ki hozta be?,Kiszállítás / Elkészülés,Megrendelő,Géptípus,"Gépépítőelem 
megnevezése","Gépépítőelem 
típusa","Gépépítőelem 
sorozatszáma",Hibajelenség,Mechanikus munka,Elektromos munka,Dolgozó(k),Telephelyi munkaóra,"Gépészeti 
 munka", Mechanikus anyagok, Elektromos anyagok," Külsős megbízásos munkák, beszállítók","Tartozékok, megjegyzés",fiz/gar,✓,
TH0001,0,M20054,2020.06.15.,,2021.04.13.,GÉP ÉS FERROTECH KFT.,NCT-HBM-160 (PEGARD PRECIVIT AF160.S?),Szögfej,,,"Teljes mechanikus felújítás, szögmérő tervezése, beépítése","Tisztítás, szétbontás, átvizsgálás, gépészeti feladatok, szögmérő kiépítésének megtervezése;
öntvényházak, tartozékok festése, tisztítása és átmunkálása Taksonyban, tervezett alkatrészek legyártatása;
Csapágyak beméretése, új csapágyak beszerzése;
Réz kenéscsövek cseréje rugalmas kenéscsőre (4-es átmérő);
Szögmérő mágnesgyűrű illesztése, hézagolása, mérőórázása
Hidraulika gyorscsatlakozók cseréje, gumitömlők,
Egyedi csőcsonk tervezése MPT-500 kenőtáp betöltő nyílásra;
Szögfej főorsó járatása, kenés tesztelése kenőtáppal","Mérőrendszer kábel készítése (Heidenhain mérőléc kábel átalakítása, kompatibilissé tétele az eredeti AMO kábellel)","Benti munka: Schmiedmeiszter P., Ginter E.
Külső: Gulyás J., Ömböli Z., Szeles I.
Technológus: Balogh J.
PLC: Zelei J.","benti: 120 óra + 4 óra
külső: lásd szervizlapon","Muzsek René, Fűz Z.","Csapágyak:
- Timken kúpgörgős csapágy készlet (Tral Trade)
- 3 db 6306 2RS
Egyéb:
-  3 db 62-es seeger gyűrű furatba (82,50 Ft / db)
- 1 db Hajtókar (SZR202100925)
Tömítések:
- 1 db szimmering S 105 x 140 x 13 RST NBR70
- 2 db szimmering S 104 x 130 x 10 R NBR70
Olajcső:
3,5 méter DN9-3/8""
3,5 méter DN19-3/4""","AMO mágnesgyűrűs útmérő rendszer:
1 db WMFA1010A10- 1024-MF-AA13 ..  -001-83 / ID 1195847-09 abszolút szögmérő gyűrű
1 db WMKA2010S .0110..NN-20- 1024- 1.00-1SS08-C4 ..  -001-83 / ID 1157637-P8 abszolút szögmérő olvasófej
Továbbiak:
4x0.75 fémszövött 9m
2x0.75 oá 12m
Ecat Endat kártya 1db
Schneider GV2ME05 1db
Hozzá segédérintk. GVAE11 1db
LP1K09-10BD kapcs 1db
2.5-ös földelő sorkapocs 1db
1.5ös fekete vezeték 6m
0.75ös kék vezeték 4m
Ecat szalagkábel 1db","Heidenhain, Gördülő Simmering, Seal Ring, Biotek, Optimit, Bétabagoly, Juhász Műhely, Szögker",,,,
TH0002,0,M15077,2020.06.29.,,2020.11.11.,B-METÁL KFT.,TOS SUI 63,Revfej,hidraulikus revfej,,Leültetési hiba,"revolverfej beszállítása NCT-be;
Szétbontás, átvizsgálás, szelepek O-gyűrűinek cseréje; próbajáratás
Hiba egyelőre nem jelentkezett;
A központi bordástengely és a fogaskerék agy közé beiktattunk egy O-gyűrűt, mert gyanúnk szerint ott levegősödött (gyárilag ott nincs tömítés);
módosítás utáni járatás eredménye: a revolverfej hiba nélkül vált, az olaj nem fröcsög a tetején","PLC testreszabása a revolverfejhez SZÉV járatón (revolverfej működés további megértése, hogy az ÜF-nél a PLC hasonlóan működjön és vezérelje a fejet)","Schmiedmeiszter P., Tóth Viktor",40 + 8 óra,-,"10-00040680-00 O 40 x 6 FPM80 - 2 db
10-00030580-00 O 30 x 5 FPM80 - 1 db
10-00008447-00 Gumi / O-gyűrű 82x2 NBR 70 - 1 db
10-00221870-00 O 22 x 1,8 NBR70 - 12 db",-,-,,,,
TH0003,0,M14056,2020.07.13.,,2022.01.xx,S.C.ALU META SISTEM S.R.L.,MM-760,Főorsó,CELLS 8.000 RPM,,Főorsó felújítás,"Totálkáros a főorsó, szétégett belülről, csapágyat le kellett flexelni a főorsóról, csapágy a valszeg fészekben megforgott
Új csapágy távtartó gyártása (Juhász)
Csapágyazás, összeszerelés, járatás",-,Schmiedmeiszter P.,12 óra,Muzsek René,"Csapágyak:
- 4 db NSK 60BNR
Szíjtárcsa:
- 1 db 5GT-68T (10-00033115-00)
Tányérrugók:
- 68 db 34.00x16.30x2.00
Tömítések:
- 1 db 6x1 NBR70
- 1 db 7x1 NBR70
O-Gyűrűk:
- 4 db 113.4mm x 3.10mm",,,,,,
TH0004,0,M13166,2020.07.21.,,2021.03.16.,PRO FORM KFT.,EmR-1304D,Főorsó,ROYAL DIN#40 15.000 RPM,182932,Munkahenger ereszt,"Ügyfél csereorsót kapott!
SN: 204082
SZL: 27192
Munkahenger felújíttatása, főorsó készreszerelése",-,"Schmiedmeiszter P., Belencsák Á.",3 + 5 óra,-,-,-,Bétabagoly Kft.,,,,
TH0005,0,M10164,2020.07.29.,,2021.02.10.,DÖMÖTÖR ISTVÁN EV,Snupy 175,Esztergagép,,,Szerzőzéds szerinti javítások elvégzése,"1. Sauter revolverfej: leültetési hibák, csak 2 szerszámhely volt használható; korábban rendelt alkatrészek beépítése
2. ""Z"" tengely hangos: golyósorsó kopott, szabadon forgatva is hangos, Szimikronnak eljuttatva 09.11., feljavítva, visszaépítve;
3. ""X"" tengely kottyan: a szíjtárcsa lötyögött a tengelyen, újraillesztés, ""X"" tengely beállítása éklécekkel, csapágyak újrahúzása;
4. Főorsó leszúráskor beremeg?
5. Főmotor ventilátor hangos? Ventilátor motor átcsapágyazás
6. Hűtővíz szivattyú hangos? Szivattyú motor átcsapágyazás
7. Vezetékvédő harmónikák szakadtak, újak gyártatása -> Gépőr Kft
8. Szegnyereg 1 óra alatt kitolódik teljesen magától? -> nálunk nem jelentkezett
9. Hűtővíz nyomás minimális? -> új hűtővíz cső gyártása megfelelő fittengekkel (Optimit)","1. Vezérlőcsere NCT 201-ről 304-re;
2. Lábjegyzet frissítése, módosítása;
3. Szoftver frissítés;
4. Vezérlőszekrény rendbetétele","Schmiedmeiszter P., Ömböli Z., Kovács R.
Technológus: Farkas P., Simon Szb.",40 óra + 8 óra (techn.) + 8 óra (techn.),-,"""X"" tengely behajtás oldal:
- 1 db SNR 6009 EE (10-00016482-00)
""Z"" tengely
- 2 db ZKL NU204 hengergörgős csapágy (10-00000204-10)
- 2 db SIM30x40x7 S HMSA10 RG szimmering
- 0,5 m Törlő / Vezetéktörlő BA-18 (L=1000 mm),10-00001144-00
- 1 db 10-00016806-00 Védőharmónika / Snupy(1.) M11228
- 1 db 10-00016807-00 Védőharmónika / Snupy(2.) M11228
Szivattyú:
- 1 db 6202 ZZ (10-00002551-00)
- 1 db 6203 ZZ (10-00002751-00)
Ventilátor motor:
- ZVL 6201 2RS (10-01011134-00)
- ZVL 629 2Z (10-10000629-01)
revolverfej:
- 1 db M8-as T-anya [10-00008587] (Sauter: 064915)
Vizezés:
- 1 db hidraulika cső 2 m + 1,2 m (egyik vége M14x1,5; másik: M22x,15) (Optimit Kft.)",2 méter motorkábel fémszövött (szivattyúhoz),Gépőr Kft. (szánvédő harmónika gyártás),Sauter revolverfejen Baruffaldi tárcsa van!,,,
TH0006,0,M18221,2020.08.03.,,2020.10.22.,PHOENIX MECANO KECSKEMÉT KFT.,Chiron FZ-15S,Motor,"Siemens ""Z""",,Fék nem old,"Motor megbontása, átvizgálás: a motorfékben található mágnesgyűrű eltörött, fék komplett cseréje szükséges",,"Schmiedmeiszter P., Gulyás J.",30 + 2 óra,-,"Motorfék:
- 1 db [10-21996-00] Kendrion 86 611-11H03 24V DC 0.93A 28Nm állandó mágneses fék",,,"Szerelési tapasztalatok: a fék armatúrája és állórésze között 0,3 mm légrést kell hagyni, vagyis a tengelyen nem lehet koppig feltolni
AZ ÚJ FÉK ARMATÚRÁJA ÉS ÁLLÓRÉSZE KÖZÖTT VOLT EGY VÉDŐLAP, EZT EL KELL ELŐSZÖR TÁVOLÍTANI, KÜLÖNBEN NEM MŰKÖDIK SEHOGY!!!!!!",,,
TH0007,0,M15086,2020.08.07.,,2020.12.xx.,INDUSTRIEBEDARF KRÜGER GMBH (CZETEC S.R.O.),HG-400 (V.) (006),Komplett motororsó,,,Motor zárlatos,"Motororsó szétbontása, állórész tekercselés kiküldése Dévaványára. Új tekercselés készíttetése. Tekercselés bevonatása fémepoxival (EMTC Kft.). Bevonat méretre esztergálása (Juhász Műhely). Új állórész csomag beemelése orsóházba. Főorsó csapágyak zsírzása. Hátsó hengergörgős csapágy cseréje. Deublin és vízbevezető cső csapágyainak cseréje. Munkahenger tömítéseinek cseréje.",Motororsó bekötése Torque motor járatóba,"Schmiedmeiszter P., Ömböli Z.",32 + 8 óra,-,"Csapágyak:
- 1 db NSK N1011B P4 (Tral Trade)
- 2 db NSK 7203A5CTRDULP3
Deublin:
- 1 db 1109-144-212 [10-00017846-00]
Munkahenger tömítések:
- 1 db SKY-60 (60*70*6) NBR70 karmantyú
- 1 db LBH71*81*6/8 porvédő NBR70
- 2 db SKY-71 (71*80*6) NBR70 karmantyú
- 1 db O-gyűrű G90 (89,4 x 3,1) NBR70
Szerszámbehúzó tömítések:
- 1 db SKY-30 (30*40*6) NBR70 karmantyú
Állórész átmunkálás:
[00-10026860-00] Juhász
[00-10026859-00] Állórész gyantakiöntés 14.400 Ft",-,"Liker Motors
EMTC Kft. 
Juhász Műhely
Tral Trade
Seal Ring Kft.
Plussz & Roll","Behúzóerő: 8,1 kN
Rezgés: 0,4 / 0,6",,,
TH0008,0,-,2020.09.23.,,2020.11.04.,ISD DUNAFERR ZRT. ,Seiger SLZ-360 eszterga,Főorsóház,,,Főorsó csapágyazás,"Bontás, tisztítás, csapágyak beazonosítása, új csapágyak beépítése",-,Schmiedmeiszter P.,8 óra,-,"Csapágyak:
- 3 db IBC 71919-CTP2H-TBTM (triplex)
- 2 db IBC 71913-CTP2H-DBM (duplex)",-,Tral Trade,"Eredeti csapágyak:
- 3 db SNFA SEB95-7CE1TDM
- 2 db SNFA SEB65-7CE1-DDM",,,
TH0009,0,-,2020.10.02.,,2020.11.20.,S.C.ROBAC INDUSTRIES S.R.L.,Deckel DMC-70V,Motor,Siemens max. 9.000 RPM,1PH7107-2NG32-0DC0 P921 8134 01 ,"Csapágyazás, jeladózás","Motor bontása, tisztítása, új csapágyak beépítése, új sorkapocs, összeépítés, új jeladó + csatlakozó, egyensúlyozás, járatás","Intercontec, NCT kompatibilis jeladó csatlakozó foglalat kiépítése","Schmiedmeiszter P., Ginter E.",6 + 2 + 2 óra,Szabó Valentin,"Csapágyak:
- 1 db NTN 6308T2X2LLBACS40PX13 [10-10006115-00]
- 1 db NTN 2TS3-6208LLBACS4#01 [10-01001666-00]","Sorkapocs:
- 1 db egyedi, textil bakelitből","FÉMÓ Kft.
Tral Trade",,,,
TH0010,0,M06118,2020.10.02.,,2020.10.22.,MEDIMETAL KFT.,TMV-510,Főorsó,CTS 12.000 RPM,,Főorsó csapágyazás,"Orsó bontása, tisztítása, kúpköszörülés, csapágyazás, forgócsatlakozó kiórázása",-,"Schmiedmeiszter P., Belencsák Á.",4 + 3 óra,-,"Csapágyak
- 4 db NSK 45BNR10STYNSULP3
- 1 db NSK N1009
Tömítések
- O 15 x 1,5 NBR70 (4016930090),10-00151570-00 - 12 db
- O 24 x 3 NBR70 (4016930090),10-00024370-00 - 10 db
- X 24,99 x 3,53 NBR70 X-gyűrű (4016930090),10-02499353-00 - 1 db
- O 07 x 2 NBR70 (4016930090),10-00007270-10 - 11 db
- O 07 x 1,5 NBR70 (4016930090),10-00071570-00 - 10 db
Szíj:
- 1 db 1000-EVGT-30",,Losonczi,"Köszörülés 420 EUR. 
Tömítések 637,49 HUF.",,,
