TH0685,,
,,NCT Telephelyi javítási munkalap
,Javítás azonosító,TH0698
,Megrendelő,METARAD CNC KFT.
,Munkaszám,M16164
,Géptípus,CV-7A
,Beérkezés,2026.07.30.
,Ki hozta be?,SZI
,Kiszállítás,
,Gépépítőelem megnevezése,Y slepp
,Gépépítőelem típusa,
,Gépépítőelem sorozatszáma,
,Hibajelenség,Y hátsó slepp lehúzója hiányos
,Mechanikus munka leírása,
,Elektromos munka leírása,
,Mechanikus anyagok,
,Elektromos anyagok,
,Dolgozó(k),
,Telephelyi munkaóra,
,Gépésztervezési munka,
,Külsős megbízásos munka,
,"Tartozékok, megjegyzés",
